ID,Product,BuyerEmail,Country,Price,Currency,Quantity
1,Wireless Headphones,john@test.com,USA,99,USD,1
2,Fitness Tracker,john@test.com,USA,49,USD,1
3,Smartwatch,jake@test.com,USA,79,USD,1
4,Laptop,smith@test.com,Canada,99,USD,1
5,Online Course,smith@test.com,Germany,99,USD,2
6,Subscription Service,john@test.com,USA,79,USD,1
7,Home Appliance,john@test.com,USA,99,USD,2
8,Noise-Cancelling Headphones,john@test.com,Canada,199,USD,2
9,Desktop Computer,jakes@test.com,USA,99,USD,1
10,Tablet,john@test.com,USA,99,USD,1
11,Camera,john@test.com,Canada,99,USD,1
12,Fitness Tracker,john@test.com,Germany,149,USD,2
